3,Anolis    ricordii    ricordi
4,Anolis    ricordii    ricordii
5,Anolis    ricordii    subsolanus
6,Anolis    ricordii    viculus
7,Anolis  rimarum
8,Anolis  rivalis
9,Anolis  roatanensis
10,Anolis  rodriguezii
11,Anolis  roosevelti
12,Anolis  roquet
13,Anolis    roquet    caracoli
14,Anolis    roquet    majolgris
15,Anolis    roquet    roquet
16,Anolis    roquet    salinei
17,Anolis    roquet    summus
18,Anolis    roquet    zebrilus
19,Anolis  rubiginosus
0,Anosteira  anglica
1,Anosteira  manchuriana
2,Anosteira  maomingensis
3,Anosteira  mongoliensis
4,Anosteira  ornata
5,Anosteira  radulina
6,Anosteira  shantungensis
7,Anosteira  shuvalovi
8,Anosteira  trionychoides
9,Anostomoides  atrianalis
10,Anostomoides  laticeps
11,Anostomoides  passionis
12,Anostomus  anostomus
13,Anostomus  brevior
14,Anostomus  longus
15,Anostomus  ternetzi
16,Anostomus  ucayalensis
17,Anotheca  spinosa
18,Anotomys  leander
19,Anotopterus  nikparini
0,Anthops  ornatus
1,Anthornis  melanura
2,Anthornis    melanura    melanocephala
3,Anthornis    melanura    melanura
4,Anthornis    melanura    obscura
5,Anthornis    melanura    oneho
6,Anthoscopus  caroli
7,Anthoscopus    caroli    ansorgei
8,Anthoscopus    caroli    caroli
9,Anthoscopus    caroli    hellmayri
10,Anthoscopus    caroli    pallescens
11,Anthoscopus    caroli    rankinei
12,Anthoscopus    caroli    rhodesiae
13,Anthoscopus    caroli    robertsi
14,Anthoscopus    caroli    roceatii
15,Anthoscopus    caroli    sharpei
16,Anthoscopus    caroli    sylviella
17,Anthoscopus    caroli    winterbottomi
18,Anthoscopus  flavifrons
19,Anthoscopus    flavifrons    flavifrons
0,Anthus    nyassae    frondicolus
1,Anthus    nyassae    nyassae
2,Anthus    nyassae    schoutedeni
3,Anthus  pallidiventris
4,Anthus    pallidiventris    esobe
5,Anthus    pallidiventris    pallidiventris
6,Anthus  petrosus
7,Anthus    petrosus    littoralis
8,Anthus    petrosus    petrosus
9,Anthus  pratensis
10,Anthus    pratensis    pratensis
11,Anthus    pratensis    whistleri
12,Anthus  pseudosimilis
13,Anthus  richardi
14,Anthus    richardi    centralasiae
15,Anthus    richardi    dauricus
16,Anthus    richardi    richardi
17,Anthus    richardi    sinensis
18,Anthus    richardi    ussuriensis
19,Anthus  roseatus
0,Apalis  karamojae
1,Apalis    karamojae    karamojae
2,Apalis    karamojae    stronachi
3,Apalis  lynesi
4,Apalis  melanocephala
5,Apalis    melanocephala    addenda
6,Apalis    melanocephala    adjacens
7,Apalis    melanocephala    fuliginosa
8,Apalis    melanocephala    lightoni
9,Apalis    melanocephala    melanocephala
10,Apalis    melanocephala    moschi
11,Apalis    melanocephala    muhuluensis
12,Apalis    melanocephala    nigrodorsalis
13,Apalis    melanocephala    tenebricosa
14,Apalis  nigriceps
15,Apalis    nigriceps    collaris
16,Apalis    nigriceps    nigriceps
17,Apalis  personata
18,Apalis    personata    marungensis
19,Apalis    personata    personata
0,Aphelocoma    californica    oocleptica
1,Aphelocoma  coerulescens
2,Aphelocoma  insularis
3,Aphelocoma  ultramarina
4,Aphelocoma    ultramarina    colimae
5,Aphelocoma    ultramarina    ultramarina
6,Aphelocoma  unicolor
7,Aphelocoma    unicolor    concolor
8,Aphelocoma    unicolor    griscomi
9,Aphelocoma    unicolor    guerrerensis
10,Aphelocoma    unicolor    oaxacae
11,Aphelocoma    unicolor    unicolor
12,Aphelocoma  wollweberi
13,Aphelocoma    wollweberi    arizonae
14,Aphelocoma    wollweberi    couchii
15,Aphelocoma    wollweberi    gracilis
16,Aphelocoma    wollweberi    potosina
17,Aphelocoma    wollweberi    wollweberi
18,Aphelocoma  woodhouseii
19,Aphelocoma    woodhouseii    cyanotis
0,Apistogramma  cruzi
1,Apistogramma  diplotaenia
2,Apistogramma  elizabethae
3,Apistogramma  eremnopyge
4,Apistogramma  erythrura
5,Apistogramma  eunotus
6,Apistogramma  feconat
7,Apistogramma  flabellicauda
8,Apistogramma  geisleri
9,Apistogramma  gephyra
10,Apistogramma  gibbiceps
11,Apistogramma  gossei
12,Apistogramma  guttata
13,Apistogramma  helkeri
14,Apistogramma  hippolytae
15,Apistogramma  hoignei
16,Apistogramma  hongsloi
17,Apistogramma  huascar
18,Apistogramma  inconspicua
19,Apistogramma  iniridae
0,Aplidium  elongatum
1,Aplidium  enigmaticum
2,Aplidium  erythraeum
3,Aplidium  eudistomum
4,Aplidium  exiguum
5,Aplidium  exile
6,Aplidium  falklandicum
7,Aplidium  fistulosum
8,Aplidium  flavolineatum
9,Aplidium  fluorescum
10,Aplidium  foliaceum
11,Aplidium  formosum
12,Aplidium  fragile
13,Aplidium  fuegiense
14,Aplidium  fumigatum
15,Aplidium  funginum
16,Aplidium  galeritum
17,Aplidium  gastrolineatum
18,Aplidium  gelasinum
19,Aplidium  gelatinosum
0,Aploactis  aspera
1,Aploactisoma  milesii
2,Aplocheilichthys  spilauchen
3,Aplocheilus  blockii
4,Aplocheilus  dayi
5,Aplocheilus  kirchmayeri
6,Aplocheilus  lineatus
7,Aplocheilus  panchax
8,Aplocheilus  parvus
9,Aplocheilus  werneri
10,Aplochiton  marinus
11,Aplochiton  taeniatus
12,Aplochiton  zebra
13,Aplodactylus  arctidens
14,Aplodactylus  etheridgii
15,Aplodactylus  lophodon
16,Aplodactylus  punctatus
17,Aplodactylus  westralis
18,Aplodinotus  grunniens
19,Aplodontia  rufa
0,Apogonichthyoides  pharaonis
1,Apogonichthyoides  pseudotaeniatus
2,Apogonichthyoides  regani
3,Apogonichthyoides  sialis
4,Apogonichthyoides  taeniatus
5,Apogonichthyoides  timorensis
6,Apogonichthyoides  umbratilis
7,Apogonichthyoides  uninotatus
8,Apogonichthys  landoni
9,Apogonichthys  ocellatus
10,Apogonichthys  perdix
11,Apogonops  anomalus
12,Apolemichthys  arcuatus
13,Apolemichthys  armitagei
14,Apolemichthys  griffisi
15,Apolemichthys  guezei
16,Apolemichthys  kingi
17,Apolemichthys  trimaculatus
18,Apolemichthys  xanthopunctatus
19,Apolemichthys  xanthotis
0,Apus    affinis    aerobates
1,Apus    affinis    affinis
2,Apus    affinis    bannermani
3,Apus    affinis    galilejensis
4,Apus    affinis    singalensis
5,Apus    affinis    theresae
6,Apus  alexandri
7,Apus  apus
8,Apus    apus    apus
9,Apus    apus    pekinensis
10,Apus  barbatus
11,Apus    barbatus    balstoni
12,Apus    barbatus    barbatus
13,Apus    barbatus    glanvillei
14,Apus    barbatus    hollidayi
15,Apus    barbatus    mayottensis
16,Apus    barbatus    oreobates
17,Apus    barbatus    roehli
18,Apus    barbatus    serlei
19,Apus    barbatus    sladeniae
0,Araripemys  barretoi
1,Aratinga  acuticaudata
2,Aratinga    acuticaudata    acuticaudata
3,Aratinga    acuticaudata    haemorrhous
4,Aratinga    acuticaudata    koenigi
5,Aratinga    acuticaudata    neoxena
6,Aratinga    acuticaudata    neumanni
7,Aratinga  aurea
8,Aratinga  auricapillus
9,Aratinga    auricapillus    auricapillus
10,Aratinga    auricapillus    aurifrons
11,Aratinga  cactorum
12,Aratinga    cactorum    cactorum
13,Aratinga    cactorum    caixana
14,Aratinga  canicularis
15,Aratinga    canicularis    canicularis
16,Aratinga    canicularis    clarae
17,Aratinga    canicularis    eburnirostrum
18,Aratinga  chloroptera
19,Aratinga    chloroptera    chloroptera
0,Arctocephalus  philippii
1,Arctocephalus  pusillus
2,Arctocephalus    pusillus    doriferus
3,Arctocephalus    pusillus    pusillus
4,Arctocephalus  townsendi
5,Arctocephalus  tropicalis
6,Arctogadus  glacialis
7,Arctogalidia  trivirgata
8,Arctogalidia    trivirgata    bancana
9,Arctogalidia    trivirgata    fusca
10,Arctogalidia    trivirgata    inornata
11,Arctogalidia    trivirgata    leucotis
12,Arctogalidia    trivirgata    macra
13,Arctogalidia    trivirgata    major
14,Arctogalidia    trivirgata    millsi
15,Arctogalidia    trivirgata    minor
16,Arctogalidia    trivirgata    simplex
17,Arctogalidia    trivirgata    stigmaticus
18,Arctogalidia    trivirgata    sumatrana
19,Arctogalidia    trivirgata    tingia
0,Ariopsis  guatemalensis
1,Ariopsis  seemanni
2,Ariosoma  anago
3,Ariosoma  anagoides
4,Ariosoma  anale
5,Ariosoma  balearicum
6,Ariosoma  bauchotae
7,Ariosoma  coquettei
8,Ariosoma  fasciatum
9,Ariosoma  gilberti
10,Ariosoma  howensis
11,Ariosoma  major
12,Ariosoma  marginatum
13,Ariosoma  mauritianum
14,Ariosoma  meeki
15,Ariosoma  megalops
16,Ariosoma  mellissii
17,Ariosoma  multivertebratum
18,Ariosoma  nigrimanum
19,Ariosoma  obud
0,Arremon  castaneiceps
1,Arremon  costaricensis
2,Arremon  crassirostris
3,Arremon  flavirostris
4,Arremon    flavirostris    devillii
5,Arremon    flavirostris    dorbignii
6,Arremon    flavirostris    flavirostris
7,Arremon    flavirostris    polionotus
8,Arremon  franciscanus
9,Arremon  perijanus
10,Arremon  phaeopleurus
11,Arremon  phygas
12,Arremon  schlegeli
13,Arremon    schlegeli    canidorsum
14,Arremon    schlegeli    fratruelis
15,Arremon    schlegeli    schlegeli
16,Arremon  semitorquatus
17,Arremon  taciturnus
18,Arremon    taciturnus    axillaris
19,Arremon    taciturnus    nigrirostris
0,Artibeus  inopinatus
1,Artibeus  jamaicensis
2,Artibeus    jamaicensis    fallax
3,Artibeus    jamaicensis    grenadensis
4,Artibeus    jamaicensis    hercules
5,Artibeus    jamaicensis    jamaicensis
6,Artibeus    jamaicensis    parvipes
7,Artibeus    jamaicensis    paulus
8,Artibeus    jamaicensis    richardsoni
9,Artibeus    jamaicensis    trinitatis
10,Artibeus    jamaicensis    triomylus
11,Artibeus    jamaicensis    yucatanicus
12,Artibeus  lituratus
13,Artibeus    lituratus    koopmani
14,Artibeus    lituratus    lituratus
15,Artibeus    lituratus    palmarum
16,Artibeus  obscurus
17,Artibeus  planirostris
18,Artibeus  schwartzi
19,Artisornis  metopias
0,Ascidia  zyogasima
1,Ascidiella  aspersa
2,Ascidiella  scabra
3,Ascidiella  senegalensis
4,Asellia  arabica
5,Asellia  italosomalica
6,Asellia  patrizii
7,Asellia  tridens
8,Asellia    tridens    murraiana
9,Asellia    tridens    tridens
10,Aselliscus  stoliczkanus
11,Aselliscus  tricuspidatus
12,Aselliscus    tricuspidatus    koopmani
13,Aselliscus    tricuspidatus    novaeguinae
14,Aselliscus    tricuspidatus    novehebridensis
15,Aselliscus    tricuspidatus    tricuspidatus
16,Asemichthys  taylori
17,Aseraggodes  albidus
18,Aseraggodes  andersoni
19,Aseraggodes  auroculus
0,Aspidoscelis    costata    nigrigularis
1,Aspidoscelis    costata    occidentalis
2,Aspidoscelis    costata    zweifeli
3,Aspidoscelis  danheimae
4,Aspidoscelis  deppii
5,Aspidoscelis    deppii    deppei
6,Aspidoscelis    deppii    deppii
7,Aspidoscelis    deppii    infernalis
8,Aspidoscelis    deppii    schizophorus
9,Aspidoscelis  exsanguis
10,Aspidoscelis  flagellicauda
11,Aspidoscelis  gularis
12,Aspidoscelis    gularis    colossus
13,Aspidoscelis    gularis    gularis
14,Aspidoscelis    gularis    pallidus
15,Aspidoscelis    gularis    semiannulatus
16,Aspidoscelis    gularis    semifasciatus
17,Aspidoscelis    gularis    septemvittata
18,Aspidoscelis  guttata
19,Aspidoscelis    guttata    flavilineatus
0,Asthenes    modesta    navasi
1,Asthenes    modesta    proxima
2,Asthenes    modesta    rostrata
3,Asthenes    modesta    serrana
4,Asthenes  ottonis
5,Asthenes  patagonica
6,Asthenes  pudibunda
7,Asthenes    pudibunda    grisior
8,Asthenes    pudibunda    neglecta
9,Asthenes    pudibunda    pudibunda
10,Asthenes  pyrrholeuca
11,Asthenes    pyrrholeuca    pyrrholeuca
12,Asthenes    pyrrholeuca    sordida
13,Asthenes  sclateri
14,Asthenes    sclateri    brunnescens
15,Asthenes    sclateri    cuchacanchae
